GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
uip-flink-jobs,com.uip.flink.common,NgsiLdMessage.NgsiLdProperty,119,0,22,0,4,0,20,0,9,0
uip-flink-jobs,com.uip.flink.common,NgsiLdDeserializer,30,0,4,0,8,0,7,0,5,0
uip-flink-jobs,com.uip.flink.common,NgsiLdMessage.Meta,115,0,22,0,4,0,20,0,9,0
uip-flink-jobs,com.uip.flink.common,NgsiLdMessage,355,0,70,0,12,0,57,0,22,0
uip-flink-jobs,com.uip.flink.traffic,TrafficCount,383,0,76,0,22,0,58,0,20,0
uip-flink-jobs,com.uip.flink.traffic,TrafficFlinkJob,175,0,4,0,46,0,7,0,5,0
uip-flink-jobs,com.uip.flink.esg,EsgFlinkJob,269,0,9,0,62,0,15,0,9,0
uip-flink-jobs,com.uip.flink.alert,AlertDetectionFunction,1,205,4,18,1,34,4,13,0,5
uip-flink-jobs,com.uip.flink.alert,AlertRule,186,79,35,15,5,10,30,12,11,4
uip-flink-jobs,com.uip.flink.alert,AlertEvent,291,33,50,0,6,4,41,4,16,4
uip-flink-jobs,com.uip.flink.alert,AlertDetectionJob,133,0,4,0,36,0,9,0,7,0
uip-flink-jobs,com.uip.flink.environment,EnvironmentFlinkJob,233,0,6,0,61,0,11,0,8,0
uip-flink-jobs,com.uip.flink.environment,EnvironmentReading,568,45,102,0,25,3,79,3,28,3
